City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
546,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
548,Lazaro Cardenas,MX,82.74,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
558,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
563,Kathu,TH,85.69,few clouds,7.9178,98.3332,Novotel Phuket Resort
566,Emiliano Zapata,MX,77.85,few clouds,18.8333,-99.1833,Parador De Manolos Hotel
574,Maningrida,AU,78.87,light rain,-12.0667,134.2667,Dhukurrdji Lodge
575,Salto Del Guaira,PY,89.1,broken clouds,-24.0625,-54.3069,7 Saltos Resort
576,Lingig,PH,75.81,scattered clouds,8.0389,126.4125,BREXIE INN
579,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
585,Dondo,MZ,80.11,scattered clouds,-19.6094,34.7431,Arco Iris
586,Wanlaweyn,SO,78.17,overcast clouds,2.6185,44.8938,GAASHAAN HOME
591,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
593,San Rafael,AR,85.57,clear sky,-34.6177,-68.3301,Hotel San Rafael
594,Marrakesh,MA,75.27,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
603,Santa Maria,BR,83.5,few clouds,-29.6842,-53.8069,Hotel Morotin
605,Merauke,ID,77.68,overcast clouds,-8.4667,140.3333,
607,Totness,SR,82.17,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
608,Poum,NC,79.7,overcast clouds,-20.2333,164.0167,Gîte kajeon
609,Emerald,AU,77.14,few clouds,-23.5333,148.1667,The Irish Village
610,Tevaitoa,PF,79.47,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
611,Cervantes,AR,79.38,broken clouds,-39.05,-67.3833,LA RUFINA
612,San Vicente,AR,85.96,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
616,Grand Gaube,MU,81.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
619,Mlonggo,ID,79.16,light rain,-6.5333,110.7,Asia Metal Art
624,Isangel,VU,77.41,overcast clouds,-19.55,169.2667,Tanna Lodge
626,Manaure,CO,82.51,clear sky,11.7751,-72.4445,Hotel Palaaima
629,Banugao,PH,77.07,broken clouds,14.7333,121.6333,WMV Hotel & Restaurant
637,Bria,CF,79.79,scattered clouds,6.5423,21.9863,WFP Guesthouse
639,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
641,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
643,San Policarpo,PH,77.77,few clouds,12.1791,125.5072,Agapita M. Nicart
646,Naifaru,MV,81.55,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
647,Eydhafushi,MV,81.7,broken clouds,5.1033,73.0708,Soneva Fushi
649,Bonito,BR,86.36,broken clouds,-21.1211,-56.4819,Marruá Hotel
656,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
664,Jamame,SO,76.8,few clouds,0.0722,42.7506,
673,Guarapari,BR,87.69,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
674,Labrea,BR,80.46,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
675,Luanda,AO,79.32,overcast clouds,-8.8368,13.2343,Hotel Fórum
677,Moindou,NC,76.95,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
680,Kieta,PG,79.21,light rain,-6.2167,155.6333,Uruna Bay Retreat
681,Abong Mbang,CM,76.17,overcast clouds,3.9833,13.1833,Auberge Angle Sur
682,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
683,Adrar,MR,82.49,overcast clouds,20.5022,-10.0711,
686,Alta Floresta,BR,80.42,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
690,Alenquer,BR,75.54,overcast clouds,-1.9417,-54.7383,Detinha Hotel
